title,property_type,bedrooms,bathrooms,monthly_rent,available_from,is_available,address
"Modern Room in Gangahiti, Chabahi, Kathmandu",room,1,1,7783,7/27/2025,TRUE,"Gangahiti, Chabahi, Kathmandu"
"Modern 2 Bed Apartment in Belbari, Morang",apartment,2,3,13402,7/24/2025,FALSE,"Belbari, Morang"
"Spacious 2 Bed House in Duradanda, Lamjung",house,2,2,21647,7/5/2025,FALSE,"Duradanda, Lamjung"
"Cozy 2 Bed Apartment in Darchha 1, Palpa",apartment,2,3,11863,7/13/2025,TRUE,"Darchha 1, Palpa"
"Modern 4 Bed House in Dhungkharka, Kavrepalanchowk",house,4,3,21120,7/27/2025,FALSE,"Dhungkharka, Kavrepalanchowk"
"Modern 3 Bed Apartment in Banasthali, Dhungedhara, Kathmandu",apartment,3,1,12587,7/20/2025,FALSE,"Banasthali, Dhungedhara, Kathmandu"
"Bright Room in Narayanpur 8, Seti, Kailali",room,1,1,5301,7/6/2025,TRUE,"Narayanpur 8, Seti, Kailali"
"Modern 3 Bed Apartment in Geta-3, Kailali",apartment,3,1,11399,8/23/2025,FALSE,"Geta-3, Kailali"
"Elegant 4 Bed House in Loharpatti 7, Mahottari",house,4,2,19708,9/11/2025,FALSE,"Loharpatti 7, Mahottari"
"Cozy 4 Bed House in Bhadrabas, Kathmandu",house,4,1,23410,7/13/2025,FALSE,"Bhadrabas, Kathmandu"
"Modern 3 Bed Apartment in Melung, Dolakha",apartment,3,2,12977,8/13/2025,TRUE,"Melung, Dolakha"
"Spacious Room in Gairidhara, Kathmandu",room,1,1,7396,7/24/2025,FALSE,"Gairidhara, Kathmandu"
"Cozy 2 Bed Apartment in Setidovan-5, Syangja",apartment,2,1,11215,8/2/2025,TRUE,"Setidovan-5, Syangja"
"Cozy 4 Bed House in Tandi, Chitwan",house,4,4,22304,9/11/2025,TRUE,"Tandi, Chitwan"
"Modern 3 Bed House in Dallu, Chauni, Kathmandu",house,3,2,23528,7/16/2025,FALSE,"Dallu, Chauni, Kathmandu"
"Charming Room in Majhgawa 2, Rupandehi",room,1,1,8272,7/31/2025,FALSE,"Majhgawa 2, Rupandehi"
"Elegant Room in Satdobato 15, Talchikhel, Lalitpur",room,1,1,9824,8/13/2025,TRUE,"Satdobato 15, Talchikhel, Lalitpur"
"Cozy Room in Necha, Solukhumbu",room,1,1,9314,9/8/2025,TRUE,"Necha, Solukhumbu"
"Spacious Room in Damak, Jhapa",room,1,1,5265,8/17/2025,FALSE,"Damak, Jhapa"
"Cozy Room in Galkopakha, Thamel, Kathmandu",room,1,1,7759,9/1/2025,TRUE,"Galkopakha, Thamel, Kathmandu"
"Elegant 2 Bed Apartment in Tansen, Palpa",apartment,2,3,11446,7/5/2025,FALSE,"Tansen, Palpa"
"Bright 3 Bed House in Makar 4, Bardaghat, Nawalparashi",house,3,2,19270,7/3/2025,FALSE,"Makar 4, Bardaghat, Nawalparashi"
"Cozy 3 Bed Apartment in Mamling-6, Sankhuwasava",apartment,3,1,13154,8/4/2025,TRUE,"Mamling-6, Sankhuwasava"
"Modern Room in Gongabu, Kathmandu",room,1,1,7324,7/6/2025,FALSE,"Gongabu, Kathmandu"
"Charming 4 Bed House in Tripureshwor, Kathmandu",house,4,3,20025,7/23/2025,TRUE,"Tripureshwor, Kathmandu"
"Charming 2 Bed House in Narayanpur 1, Dang",house,2,4,22236,8/28/2025,FALSE,"Narayanpur 1, Dang"
"Cozy Room in Biratnagar, Morang",room,1,1,8777,9/4/2025,FALSE,"Biratnagar, Morang"
"Charming Room in Charpane, Jhapa",room,1,1,6560,9/20/2025,TRUE,"Charpane, Jhapa"
"Elegant 3 Bed Apartment in Maidi, Dhading",apartment,3,1,11402,8/13/2025,TRUE,"Maidi, Dhading"
"Cozy 3 Bed Apartment in Imadol VDC-5, Balkumari, Lalitpur",apartment,3,3,14934,7/31/2025,FALSE,"Imadol VDC-5, Balkumari, Lalitpur"
"Spacious 4 Bed House in Janakpur-4, Dhanusha",house,4,3,22905,8/18/2025,FALSE,"Janakpur-4, Dhanusha"
"Spacious Room in Bhagbatpur, Badhari, Saptari",room,1,1,7250,7/29/2025,TRUE,"Bhagbatpur, Badhari, Saptari"
"Spacious 4 Bed House in Myanglung, Tehrathum",house,4,1,17858,7/19/2025,TRUE,"Myanglung, Tehrathum"
"Spacious 2 Bed Apartment in Ganga Tole, Biratnagar",apartment,2,3,12486,7/7/2025,TRUE,"Ganga Tole, Biratnagar"
"Charming 3 Bed House in Dumkibas 1, Nawalparashi",house,3,1,20110,7/21/2025,FALSE,"Dumkibas 1, Nawalparashi"
"Cozy 2 Bed Apartment in Palung, Makawanpur",apartment,2,3,12716,7/18/2025,FALSE,"Palung, Makawanpur"
"Bright 2 Bed House in Krishnapur, Kanchanpur",house,2,1,19067,8/20/2025,TRUE,"Krishnapur, Kanchanpur"
"Charming 4 Bed House in Dhulikhel-2, Kavrepalanchowk",house,4,4,17404,7/27/2025,FALSE,"Dhulikhel-2, Kavrepalanchowk"
"Elegant 2 Bed Apartment in Lamidanda, Singati, Dolakha",apartment,2,2,10072,8/13/2025,TRUE,"Lamidanda, Singati, Dolakha"
"Modern 3 Bed House in Sukedhara, Kathmandu",house,3,4,19628,6/30/2025,TRUE,"Sukedhara, Kathmandu"
"Bright 3 Bed Apartment in Birendra Nagar 8, Surkhet",apartment,3,3,13078,9/1/2025,TRUE,"Birendra Nagar 8, Surkhet"
"Elegant Room in Betali 3, Ramechhap",room,1,1,8701,7/15/2025,FALSE,"Betali 3, Ramechhap"
"Elegant 2 Bed Apartment in Argali, Palpa",apartment,2,2,11903,9/11/2025,TRUE,"Argali, Palpa"
"Charming 3 Bed Apartment in Baluatar, Kathmandu",apartment,3,2,10609,6/30/2025,FALSE,"Baluatar, Kathmandu"
"Cozy 2 Bed House in Thansingh, Nuwakot",house,2,2,21313,8/13/2025,TRUE,"Thansingh, Nuwakot"
"Charming 2 Bed House in Imadol, Lalitpur",house,2,2,20249,8/13/2025,TRUE,"Imadol, Lalitpur"
"Modern Room in Dhorphirdi 3, Tanahu",room,1,1,9761,7/27/2025,TRUE,"Dhorphirdi 3, Tanahu"
"Spacious 3 Bed Apartment in Nakhu, Lalitpur",apartment,3,1,12556,7/27/2025,FALSE,"Nakhu, Lalitpur"
"Bright 2 Bed Apartment in Naya Bazar, Kathmandu",apartment,2,3,10732,7/13/2025,FALSE,"Naya Bazar, Kathmandu"
"Charming 2 Bed Apartment in Pakarbas 6, Ramechhap",apartment,2,3,12715,7/19/2025,FALSE,"Pakarbas 6, Ramechhap"
"Cozy 2 Bed Apartment in Sotipasal, Lamjung",apartment,2,2,11935,6/30/2025,FALSE,"Sotipasal, Lamjung"
"Charming 4 Bed House in Nirmalbasti 7, Parsa",house,4,1,24175,8/18/2025,FALSE,"Nirmalbasti 7, Parsa"
"Modern 2 Bed Apartment in Shankhamul, Salyan",apartment,2,3,10632,9/1/2025,TRUE,"Shankhamul, Salyan"
"Spacious 3 Bed Apartment in Deukhari, Dang",apartment,3,1,10960,9/15/2025,TRUE,"Deukhari, Dang"
"Charming 4 Bed House in Masel-9, Gorkha",house,4,2,18344,7/16/2025,TRUE,"Masel-9, Gorkha"
"Elegant 2 Bed Apartment in Kamal Pokhari, Kathmandu",apartment,2,1,12291,8/7/2025,TRUE,"Kamal Pokhari, Kathmandu"
"Cozy 2 Bed House in Maharajgunj, Kathmandu",house,2,3,16937,8/21/2025,TRUE,"Maharajgunj, Kathmandu"
"Bright Room in Lainchaur, Kathmandu",room,1,1,5246,7/16/2025,FALSE,"Lainchaur, Kathmandu"
"Elegant Room in Samakhusi, Town Planning, Kathmandu",room,1,1,7962,8/27/2025,FALSE,"Samakhusi, Town Planning, Kathmandu"
"Cozy Room in Garjumarg, Kathmandu",room,1,1,8531,9/9/2025,FALSE,"Garjumarg, Kathmandu"
"Modern 4 Bed House in Ramghat 5, Surkhet",house,4,1,19090,8/15/2025,FALSE,"Ramghat 5, Surkhet"
"Elegant 4 Bed House in Gajuri, Dhading",house,4,4,18509,7/18/2025,FALSE,"Gajuri, Dhading"
"Bright Room in Ka.Ma.Na.Pa. 16, Sorakhutte, Kathmandu",room,1,1,5980,9/21/2025,FALSE,"Ka.Ma.Na.Pa. 16, Sorakhutte, Kathmandu"
"Elegant Room in Koteshwor, Kathmandu",room,1,1,8228,8/29/2025,TRUE,"Koteshwor, Kathmandu"
"Charming 2 Bed House in Saya 5, Sarkigard, Humla",house,2,2,19130,9/13/2025,TRUE,"Saya 5, Sarkigard, Humla"
"Spacious 3 Bed Apartment in Chatrebangh, Kavrepalanchowk",apartment,3,2,11212,7/19/2025,FALSE,"Chatrebangh, Kavrepalanchowk"
"Charming Room in Lampantar, Sindhuli",room,1,1,8293,9/22/2025,FALSE,"Lampantar, Sindhuli"
"Cozy 3 Bed Apartment in Katike Deurali, Kavrepalanchowk",apartment,3,1,11811,8/28/2025,FALSE,"Katike Deurali, Kavrepalanchowk"
"Elegant 2 Bed Apartment in Aanandaban, Rupandehi",apartment,2,1,11553,7/9/2025,TRUE,"Aanandaban, Rupandehi"
"Cozy Room in Shree Gaun, Dang",room,1,1,7301,9/12/2025,TRUE,"Shree Gaun, Dang"
"Bright 4 Bed House in Balaju Chowk, Kathmandu",house,4,4,20220,7/19/2025,TRUE,"Balaju Chowk, Kathmandu"
"Bright 3 Bed House in Gamnangtar-4, Okhaldhunda",house,3,3,19382,9/17/2025,TRUE,"Gamnangtar-4, Okhaldhunda"
"Cozy 4 Bed House in Bhaktapur, Bhaktapur",house,4,3,22715,9/21/2025,FALSE,"Bhaktapur, Bhaktapur"
"Spacious 2 Bed Apartment in Mangalbare, Ilam",apartment,2,2,13348,7/6/2025,TRUE,"Mangalbare, Ilam"
"Spacious 2 Bed House in Gadhimai, Bara",house,2,2,21535,7/5/2025,FALSE,"Gadhimai, Bara"
"Spacious Room in Yadukuha, Dhankuta",room,1,1,7874,9/10/2025,TRUE,"Yadukuha, Dhankuta"
"Charming 3 Bed House in Basti, Dhurkot, Gulmi",house,3,4,18447,8/15/2025,TRUE,"Basti, Dhurkot, Gulmi"
"Elegant 2 Bed Apartment in Baneshwor Heights, Tanka Prasad Marg, Kathmandu",apartment,2,1,13280,7/28/2025,TRUE,"Baneshwor Heights, Tanka Prasad Marg, Kathmandu"
"Elegant Room in Ithari - 20, Sunsari",room,1,1,9063,7/20/2025,TRUE,"Ithari - 20, Sunsari"
"Elegant 2 Bed Apartment in Srinagar, Humla",apartment,2,3,13536,7/26/2025,TRUE,"Srinagar, Humla"
"Elegant 2 Bed Apartment in Sauntha, Sijawa, Morang",apartment,2,2,10152,7/27/2025,FALSE,"Sauntha, Sijawa, Morang"
"Charming 2 Bed Apartment in Hasara 4, Gulmi",apartment,2,1,11324,9/17/2025,TRUE,"Hasara 4, Gulmi"
"Charming 2 Bed Apartment in Kitchnas 2, Biruwa, Syanja",apartment,2,2,10633,8/9/2025,FALSE,"Kitchnas 2, Biruwa, Syanja"
"Bright 3 Bed Apartment in Nepaltar, Balaju, Kathmandu",apartment,3,3,11277,7/19/2025,FALSE,"Nepaltar, Balaju, Kathmandu"
"Elegant 3 Bed House in Urlabari, Morang",house,3,2,17195,7/10/2025,FALSE,"Urlabari, Morang"
"Spacious 2 Bed House in Lubhu, Lalitpur",house,2,4,22560,7/27/2025,TRUE,"Lubhu, Lalitpur"
"Modern 3 Bed House in Purano Tundikhel, Kaski",house,3,3,23239,8/3/2025,TRUE,"Purano Tundikhel, Kaski"
"Charming Room in Ishaneshwor, Lamjung",room,1,1,5717,8/29/2025,FALSE,"Ishaneshwor, Lamjung"
"Spacious 2 Bed Apartment in Nepalgunj-13, Banke",apartment,2,1,13218,8/11/2025,TRUE,"Nepalgunj-13, Banke"
"Charming 3 Bed Apartment in Sanepa-2, Lalitpur",apartment,3,2,10626,8/31/2025,TRUE,"Sanepa-2, Lalitpur"
"Charming 3 Bed Apartment in Ramnagar-2, Nawalparasi",apartment,3,3,12729,7/15/2025,TRUE,"Ramnagar-2, Nawalparasi"
"Spacious Room in Sukhad, Kailali",room,1,1,6831,9/21/2025,FALSE,"Sukhad, Kailali"
"Cozy Room in Dhobighat, Lalitpur",room,1,1,8734,9/16/2025,FALSE,"Dhobighat, Lalitpur"
"Cozy 2 Bed House in Kaushaltar, Bhaktapur",house,2,3,15761,8/2/2025,TRUE,"Kaushaltar, Bhaktapur"
"Spacious Room in Thamel, Kathmandu",room,1,1,6709,7/27/2025,TRUE,"Thamel, Kathmandu"
"Spacious 2 Bed Apartment in Lokanthali, Bhaktapur",apartment,2,1,11431,9/14/2025,FALSE,"Lokanthali, Bhaktapur"
"Cozy 4 Bed House in Tokha Naparpalika -10, Basundhara, Kathmandu",house,4,2,17813,8/10/2025,TRUE,"Tokha Naparpalika -10, Basundhara, Kathmandu"
"Spacious 3 Bed Apartment in Santinagar, Kathmandu",apartment,3,2,12938,7/13/2025,TRUE,"Santinagar, Kathmandu"
"Charming Room in Panitanki, Birgunj",room,1,1,9950,9/18/2025,TRUE,"Panitanki, Birgunj"
"Elegant 3 Bed Apartment in Rampur, Dang",apartment,3,1,13606,9/22/2025,TRUE,"Rampur, Dang"
"Bright Room in Gaushala, Kathmandu",room,1,1,7597,9/4/2025,TRUE,"Gaushala, Kathmandu"
"Cozy 2 Bed House in Boudha, Kathmandu",house,2,2,20680,7/18/2025,FALSE,"Boudha, Kathmandu"
"Cozy Room in Kalukheti, Chhanna, Bajhang",room,1,1,9641,8/3/2025,FALSE,"Kalukheti, Chhanna, Bajhang"
"Bright 2 Bed Apartment in Dhangadhi Upa MaNaPa 1 NL Chowk, Kailali",apartment,2,2,11898,7/31/2025,TRUE,"Dhangadhi Upa MaNaPa 1 NL Chowk, Kailali"
"Bright 3 Bed Apartment in Kalanki, Kathmandu",apartment,3,3,12923,8/23/2025,FALSE,"Kalanki, Kathmandu"
"Elegant Room in Khandbari, Sankhuwasava",room,1,1,9050,9/6/2025,TRUE,"Khandbari, Sankhuwasava"
"Modern 3 Bed Apartment in Malu 5, Dolakha",apartment,3,1,12136,7/23/2025,TRUE,"Malu 5, Dolakha"
"Elegant Room in Nishankhe, Okhaldhunga",room,1,1,7557,8/14/2025,FALSE,"Nishankhe, Okhaldhunga"
"Bright Room in Ichangu Narayan 6, Kathmandu",room,1,1,8731,7/22/2025,FALSE,"Ichangu Narayan 6, Kathmandu"
"Cozy 2 Bed Apartment in Rumjatar, Okhaldhunda",apartment,2,1,12421,8/24/2025,FALSE,"Rumjatar, Okhaldhunda"
"Bright Room in Dehimandu, Baitadi",room,1,1,7414,9/21/2025,TRUE,"Dehimandu, Baitadi"
"Bright 2 Bed Apartment in DSP Road, Biratnagar, Morang",apartment,2,2,12339,9/8/2025,TRUE,"DSP Road, Biratnagar, Morang"
"Elegant Room in Kolhuwa, Nawalparasi",room,1,1,7335,7/9/2025,TRUE,"Kolhuwa, Nawalparasi"
"Cozy 3 Bed House in Dallu, Kathmandu",house,3,2,24079,9/14/2025,FALSE,"Dallu, Kathmandu"
"Modern 3 Bed House in Biratnagar-14, Morang",house,3,1,20226,8/2/2025,TRUE,"Biratnagar-14, Morang"
"Spacious Room in Jajarkot, Jajarkot",room,1,1,6633,7/22/2025,TRUE,"Jajarkot, Jajarkot"
"Charming Room in Santpur, Rautahat",room,1,1,7183,9/21/2025,FALSE,"Santpur, Rautahat"
"Charming Room in Liku, Dolpa",room,1,1,5280,8/23/2025,FALSE,"Liku, Dolpa"
"Charming 2 Bed Apartment in Balaju, Kathmandu",apartment,2,2,11427,8/29/2025,FALSE,"Balaju, Kathmandu"
"Modern Room in Belbari, Morang",room,1,1,9738,6/29/2025,TRUE,"Belbari, Morang"
"Cozy 3 Bed House in Sallaghari, Bhaktapur",house,3,4,20557,7/19/2025,TRUE,"Sallaghari, Bhaktapur"
"Modern Room in Hanumanteshwor, Dolakha",room,1,1,6624,9/15/2025,TRUE,"Hanumanteshwor, Dolakha"
"Charming Room in Satasidham-9, Dudhe, Jhapa",room,1,1,5960,7/30/2025,TRUE,"Satasidham-9, Dudhe, Jhapa"
"Charming Room in Liwali, Bhaktapur",room,1,1,9993,9/24/2025,TRUE,"Liwali, Bhaktapur"
"Elegant Room in Sorakhutte, Kathmandu",room,1,1,7497,7/22/2025,TRUE,"Sorakhutte, Kathmandu"
"Elegant 4 Bed House in Sano Gaucharan, Kathmandu",house,4,1,19429,8/17/2025,TRUE,"Sano Gaucharan, Kathmandu"
